İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,tramer,Fiyat
23178477,13 Nisan 2024,Toyota,RAV 4,2.5 Hybrid,2020,134.575 km,Otomatik,LPG & Benzin,SUV,Siyah,2487 cc,174 hp,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun Değil,Galeriden,,1.949.000 TL
23593719,13 Nisan 2024,Land Rover,Defender,110 2.0 SD4,2020,54.486 km,Otomatik,Dizel,Crossover,Yeşil (metalik),1999 cc,240 hp,4WD (Sürekli),İkinci El,"7,6 lt",85 lt,Tamamı orjinal,Takasa Uygun,Galeriden,5611,5.550.000 TL
24497476,12 Nisan 2024,Volvo,XC40,1.5 T3 Momentum,2020,44.700 km,Otomatik,Benzin,Crossover,Bordo,1477 cc,163 hp,Önden Çekiş,İkinci El,"6,6 lt",54 lt,1 boyalı,,Sahibinden,,2.250.000 TL
25074329,12 Nisan 2024,Ford,Kuga,1.5 EcoBlue Titanium,2020,42.000 km,Otomatik,Dizel,Crossover,Gri,1498 cc,120 hp,Önden Çekiş,İkinci El,"4,4 lt",54 lt,1 boyalı,,Sahibinden,,1.500.000 TL
25073746,12 Nisan 2024,Volvo,XC40,1.5 T3 Momentum,2020,28.000 km,Otomatik,Benzin,Crossover,Siyah,1477 cc,163 hp,Önden Çekiş,İkinci El,"6,6 lt",54 lt,Tamamı orjinal,,Sahibinden,,2.350.000 TL
24907487,12 Nisan 2024,Skoda,Karoq,1.6 TDI Prestige,2020,128.000 km,Yarı Otomatik,Dizel,Crossover,Gri,1598 cc,115 hp,Önden Çekiş,İkinci El,"4,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.460.000 TL
24764910,12 Nisan 2024,Volkswagen,T-Roc,1.5 TSI Highline,2020,70.000 km,Yarı Otomatik,Benzin,Crossover,Mavi (metalik),1498 cc,150 hp,Önden Çekiş,İkinci El,"5,6 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.360.000 TL
24768113,12 Nisan 2024,BMW,X1,18i sDrive X Line,2020,122.000 km,Otomatik,Benzin,Crossover,Siyah,1499 cc,140 hp,Önden Çekiş,İkinci El,"6,3 lt",51 lt,4 boyalı,Takasa Uygun Değil,Galeriden,,1.869.750 TL
24502469,12 Nisan 2024,Toyota,C-HR,1.8 Hybrid Flame,2020,69.000 km,Otomatik,Hibrit,Crossover,Gri,1798 cc,98 hp,Önden Çekiş,İkinci El,"3,8 lt",43 lt,Belirtilmemiş,,Sahibinden,,1.250.000 TL
25069691,11 Nisan 2024,Volkswagen,T-Roc,1.5 TSI Highline,2020,47.000 km,Yarı Otomatik,Benzin,Crossover,Beyaz,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,6 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.425.000 TL
25068406,11 Nisan 2024,Kia,Stonic,1.4 MPI Cool,2020,53.000 km,Otomatik,Benzin,Crossover,Gri,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,"3 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,115000,825.000 TL
24757724,11 Nisan 2024,Kia,Sportage,1.6 CRDI Elegance,2020,160.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,4WD (Sürekli),İkinci El,"5,2 lt",62 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.374.000 TL
23272828,11 Nisan 2024,Skoda,Kodiaq,1.5 TSI GreenTec Elite,2020,105.000 km,Yarı Otomatik,Benzin,Crossover,Füme,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,8 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.468.000 TL
24757803,11 Nisan 2024,Land Rover,Defender,110 2.0 SD4,2020,114.000 km,Otomatik,Dizel,Crossover,Siyah,1999 cc,240 hp,4WD (Sürekli),İkinci El,"7,6 lt",85 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,5.250.000 TL
25065800,10 Nisan 2024,Opel,Grandland X,1.2 EcoTEC Innovation,2020,37.000 km,Otomatik,Benzin,Crossover,Gri (metalik),1199 cc,130 hp,Önden Çekiş,İkinci El,"5,5 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,4339,1.291.000 TL
24750215,10 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,200.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,115 hp,4WD (Sürekli),İkinci El,"4,7 lt",50 lt,5 boyalı,Takasa Uygun Değil,Galeriden,,838.500 TL
24748890,10 Nisan 2024,Jeep,Compass,1.4 Limited,2020,122.500 km,Otomatik,Benzin,Crossover,Gri,1368 cc,170 hp,4WD (Sürekli),İkinci El,"6,9 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.295.000 TL
24748614,10 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,139.500 km,Düz,Dizel,Crossover,Beyaz,1461 cc,115 hp,4WD (Sürekli),İkinci El,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,838.200 TL
24749841,10 Nisan 2024,Mitsubishi,Outlander,2.0 Instyle,2020,66.000 km,Otomatik,Benzin,Crossover,Beyaz,1998 cc,150 hp,4WD (Sürekli),İkinci El,"7,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.665.000 TL
23139427,10 Nisan 2024,Land Rover,Range Rover Sport,2.0 PHEV404 Hybrid HSE Dynamic,2020,65.000 km,Otomatik,Hibrit,Crossover,Siyah,1997 cc,404 hp,4WD (Sürekli),İkinci El,"2,8 lt",90 lt,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,,7.850.000 TL
25061803,09 Nisan 2024,Hyundai,Tucson,1.6 CRDi Elite,2020,79.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,4WD (Sürekli),İkinci El,"5,1 lt",62 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.650.000 TL
24471255,09 Nisan 2024,Toyota,C-HR,1.8 Hybrid Flame,2020,27.000 km,Otomatik,Hibrit,Crossover,Gri (titanyum),1798 cc,98 hp,Önden Çekiş,İkinci El,"3,8 lt",43 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.300.000 TL
25059556,09 Nisan 2024,Dacia,Duster,1.6 Sce Prestige,2020,56.000 km,Düz,LPG & Benzin,Crossover,Turuncu,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",50 lt,Tamamı orjinal,,Sahibinden,,910.000 TL
24738206,09 Nisan 2024,DS Automobiles,DS7 Crossback,1.6 THP PureTech Grand Chic Opera,2020,40.000 km,Otomatik,Benzin,Crossover,Gri (Gümüş),1598 cc,225 hp,Önden Çekiş,İkinci El,"5,9 lt",62 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.850.000 TL
24739437,09 Nisan 2024,Ford,Kuga,1.5 EcoBlue Titanium,2020,93.500 km,Otomatik,Dizel,Crossover,Beyaz,1498 cc,120 hp,Önden Çekiş,İkinci El,"4,4 lt",54 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.360.000 TL
24739196,09 Nisan 2024,Land Rover,Discovery,2.0 SD4 Landmark Edition,2020,90.000 km,Otomatik,Dizel,Crossover,Lacivert,1999 cc,240 hp,4WD (Sürekli),İkinci El,"6,4 lt",77 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,4.100.000 TL
24739192,09 Nisan 2024,Toyota,Hilux,2.4 D-4D 4x2 Adventure,2020,29.815 km,Otomatik,Dizel,Hard top,Kırmızı,2393 cc,150 hp,Arkadan İtiş,İkinci El,"7,8 lt",80 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.375.900 TL
22657252,09 Nisan 2024,Peugeot,3008,1.5 BlueHDI Active Life Prime Edition,2020,18.500 km,Otomatik,Dizel,Crossover,Kırmızı,1499 cc,132 hp,Önden Çekiş,İkinci El,"4,1 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.625.000 TL
24741115,09 Nisan 2024,Toyota,RAV 4,2.5 Hybrid,2020,147.457 km,Otomatik,LPG & Benzin,SUV,Gri,2487 cc,176 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.949.000 TL
24738088,09 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,112.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,115 hp,4WD (Sürekli),İkinci El,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,836.900 TL
24736841,09 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,184.025 km,Düz,Dizel,Crossover,Beyaz,1461 cc,95 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,769.900 TL
24357327,09 Nisan 2024,Land Rover,Range Rover Sport,2.0 HSE,2020,72.000 km,Otomatik,Benzin,Crossover,Gri,1997 cc,300 hp,4WD (Sürekli),İkinci El,"9,6 lt",105 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Galeriden,,4.975.000 TL
21468151,09 Nisan 2024,Land Rover,Range Rover,2.0 PHEV404 Vogue,2020,40.119 km,Otomatik,LPG & Benzin,SUV,Gri,1997 cc,404 hp,AWD (Elektronik),İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,,9.250.000 TL
24738927,09 Nisan 2024,Kia,Sportage,1.6 CRDI Elegance,2020,44.000 km,Yarı Otomatik,Dizel,Crossover,Gri (Gümüş),1598 cc,136 hp,Önden Çekiş,İkinci El,"4,7 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.380.000 TL
23824168,09 Nisan 2024,Volkswagen,T-Roc,1.5 TSI Highline,2020,43.000 km,Yarı Otomatik,Benzin,Crossover,Lacivert,1498 cc,150 hp,Önden Çekiş,,"5,6 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.385.000 TL
24322270,08 Nisan 2024,Dacia,Duster,1.0 Tce Comfort,2020,35.000 km,Düz,Benzin,Crossover,Beyaz,999 cc,100 hp,Önden Çekiş,,"5,2 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,820.000 TL
25054231,08 Nisan 2024,Ssangyong,Musso Grand,2.2 D Platinum,2020,42.000 km,Otomatik,Dizel,Hard top,Gri,2157 cc,181 hp,Arkadan İtiş,İkinci El,"8,5 lt",75 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.100.000 TL
24457579,08 Nisan 2024,Volkswagen,Touareg,3.0 TDI R-Line,2020,9.400 km,Otomatik,Dizel,Crossover,Siyah,2967 cc,286 hp,4WD (Sürekli),İkinci El,"6,9 lt",75 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,5.950.000 TL
25053093,08 Nisan 2024,Peugeot,3008,1.5 BlueHDI GT Line,2020,84.000 km,Otomatik,Dizel,Crossover,Siyah,1499 cc,132 hp,Önden Çekiş,İkinci El,"4,1 lt",53 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.450.000 TL
24458315,08 Nisan 2024,Seat,Ateca,1.5 EcoTSI Xcellence,2020,100.000 km,Yarı Otomatik,Benzin,Crossover,Gri (metalik),1498 cc,150 hp,Önden Çekiş,İkinci El,"5,7 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.330.000 TL
24733361,08 Nisan 2024,Peugeot,2008,1.5 BlueHDI GT Line,2020,125.000 km,Otomatik,Dizel,Crossover,Kırmızı,1499 cc,132 hp,Önden Çekiş,İkinci El,"3,8 lt",41 lt,Belirtilmemiş,Takasa Uygun,Galeriden,4243,1.320.000 TL
24730202,08 Nisan 2024,Kia,Sportage,1.6 CRDI Prestige,2020,60.290 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,7 lt",62 lt,1 boyalı,Takasa Uygun,Yetkili Bayiden,,1.358.750 TL
24358459,08 Nisan 2024,Land Rover,Range Rover,3.0 SDV6 Autobiography,2020,153.995 km,Otomatik,Dizel,SUV,Siyah,2993 cc,275 hp,AWD (Elektronik),İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,9.650.000 TL
19979987,08 Nisan 2024,Fiat,500 X,1.6 Multijet Cross,2020,44.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,3 lt",48 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.025.000 TL
25050706,07 Nisan 2024,Dacia,Duster,1.0 ECO-G Prestige,2020,70.000 km,Düz,LPG & Benzin,Crossover,Mavi (metalik),999 cc,100 hp,Önden Çekiş,İkinci El,"7,3 lt",33 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,820.000 TL
25041460,07 Nisan 2024,Volkswagen,T-Roc,1.5 TSI Highline,2020,65.000 km,Yarı Otomatik,Benzin,Crossover,Kırmızı,1498 cc,150 hp,Önden Çekiş,İkinci El,"5,6 lt",50 lt,Belirtilmemiş,,Sahibinden,,1.290.000 TL
25041154,07 Nisan 2024,Kia,Stonic,1.4 MPI Cool,2020,48.000 km,Otomatik,Benzin,Crossover,Beyaz,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,4 boyalı,Takasa Uygun,Sahibinden,2900,900.000 TL
25041857,07 Nisan 2024,Audi,Q2,30 TDI Sport,2020,80.800 km,Yarı Otomatik,Dizel,Crossover,Siyah,1598 cc,116 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.485.000 TL
25043843,07 Nisan 2024,Seat,Arona,1.0 EcoTSI Xcellence,2020,36.000 km,Yarı Otomatik,Benzin,Crossover,Gri (Gümüş),999 cc,115 hp,Önden Çekiş,İkinci El,5 lt,40 lt,Belirtilmemiş,,Sahibinden,,1.195.000 TL
24327544,07 Nisan 2024,Fiat,500 X,1.6 Multijet City Cross,2020,75.000 km,Yarı Otomatik,Dizel,Crossover,Mavi (metalik),1598 cc,120 hp,Önden Çekiş,,"4,4 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,967.500 TL
23489773,07 Nisan 2024,Volkswagen,Tiguan,1.5 TSI R-Line,2020,45.000 km,Yarı Otomatik,Benzin,Crossover,Mavi,1498 cc,150 hp,Önden Çekiş,,"5,7 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,2.050.000 TL
23820310,07 Nisan 2024,Peugeot,2008,1.5 BlueHDI GT Line,2020,41.200 km,Otomatik,Dizel,Crossover,Turuncu,1499 cc,132 hp,Önden Çekiş,,"3,8 lt",41 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,1.455.000 TL
25040127,06 Nisan 2024,Ssangyong,Musso Grand,2.2 D Platinum,2020,121.000 km,Düz,Dizel,Hard top,Füme,2157 cc,181 hp,Arkadan İtiş,İkinci El,"7,9 lt",75 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,1.075.000 TL
24309785,06 Nisan 2024,Nissan,Qashqai,1.5 dCi Sky Pack,2020,53.000 km,Yarı Otomatik,Dizel,Crossover,Gri,1461 cc,115 hp,Önden Çekiş,İkinci El,4 lt,55 lt,Tamamı orjinal,,Sahibinden,,1.389.000 TL
24720284,06 Nisan 2024,Toyota,Hilux,2.4 D-4D 4x4 Invincible,2020,132.153 km,Otomatik,Dizel,Hard top,Kırmızı,2393 cc,150 hp,4WD (Sürekli),İkinci El,"7,4 lt",80 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.369.000 TL
24718105,06 Nisan 2024,Peugeot,5008,1.5 BlueHDI Allure Selection,2020,63.000 km,Otomatik,Dizel,Crossover,Beyaz,1499 cc,132 hp,Önden Çekiş,İkinci El,"4,1 lt",56 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.590.000 TL
24688535,06 Nisan 2024,Kia,Sportage,1.6 CRDI Prestige,2020,48.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,AWD (Elektronik),İkinci El,,,2 değişen,Takasa Uygun,Galeriden,210000,1.215.000 TL
24597423,06 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,47.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,115 hp,4WD (Sürekli),İkinci El,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,898.000 TL
25029404,05 Nisan 2024,Citroen,C5 Aircross,1.5 BlueHDI Feel Adventure,2020,98.500 km,Otomatik,Dizel,Crossover,Mavi,1499 cc,130 hp,Önden Çekiş,İkinci El,4 lt,53 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,1.305.000 TL
25028306,05 Nisan 2024,Dacia,Duster,1.6 Sce Comfort,2020,49.000 km,Düz,LPG & Benzin,Crossover,Kahverengi,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",50 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,,825.000 TL
25024336,05 Nisan 2024,Citroen,C5 Aircross,1.6 PureTech Shine Bold,2020,15.500 km,Otomatik,Benzin,Crossover,Beyaz,-,-,Önden Çekiş,İkinci El,,,Tamamı orjinal,-,Sahibinden,,1.450.000 TL
24708919,05 Nisan 2024,Dacia,Duster,1.5 BlueDCI Comfort,2020,76.966 km,Düz,Dizel,Crossover,Beyaz,1461 cc,115 hp,4WD (Sürekli),İkinci El,"4,7 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Yetkili Bayiden,,870.000 TL
24712354,05 Nisan 2024,Land Rover,Range Rover Velar,2.0 TD4 R-Dynamic S,2020,34.870 km,Otomatik,Dizel,Crossover,Gri,1999 cc,180 hp,4WD (Sürekli),İkinci El,"5,4 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,4.405.000 TL
24709481,05 Nisan 2024,Mitsubishi,L 200,4x2 Tornado,2020,138.500 km,Otomatik,Dizel,Hard top,Gri,2268 cc,150 hp,Arkadan İtiş,İkinci El,"7,5 lt",75 lt,1 boyalı,Takasa Uygun,Yetkili Bayiden,,1.220.000 TL
23547628,04 Nisan 2024,Peugeot,3008,1.5 BlueHDI Active Life Prime Edition,2020,39.000 km,Otomatik,Dizel,Crossover,Yeşil (metalik),1499 cc,132 hp,Önden Çekiş,İkinci El,"4,1 lt",53 lt,Tamamı orjinal,,Sahibinden,,1.420.000 TL
25016776,04 Nisan 2024,Skoda,Kamiq,1.0 TSI Premium,2020,40.800 km,Yarı Otomatik,Benzin,Crossover,Kırmızı,999 cc,115 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,Belirtilmemiş,,Sahibinden,,1.280.000 TL
24421584,04 Nisan 2024,Hyundai,Kona,1.6 CRDI Elite Smart,2020,60.000 km,Yarı Otomatik,Dizel,Crossover,Siyah,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,4 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.300.000 TL
24426308,04 Nisan 2024,Opel,Crossland X,1.5 CDTI Enjoy,2020,34.500 km,Düz,Dizel,Crossover,Mavi,1499 cc,102 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,,Sahibinden,,940.000 TL
25013958,04 Nisan 2024,Land Rover,Range Rover Evoque,2.0 TD4 R-Dynamic SE,2020,49.985 km,Otomatik,Dizel,Crossover,Kahverengi,1999 cc,150 hp,4WD (Sürekli),İkinci El,,65 lt,1 değişen,,Sahibinden,,3.400.000 TL
24703838,04 Nisan 2024,Dacia,Duster,1.6 Sce Comfort,2020,47.000 km,Düz,LPG & Benzin,Crossover,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,850.000 TL
24700060,04 Nisan 2024,Toyota,RAV 4,2.5 Hybrid,2020,156.886 km,Otomatik,LPG & Benzin,SUV,Siyah,2487 cc,176 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.949.000 TL
23527611,04 Nisan 2024,Citroen,C5 Aircross,1.5 BlueHDI Live,2020,85.000 km,Otomatik,Dizel,Crossover,,1499 cc,130 hp,Önden Çekiş,,,53 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,1.360.000 TL
24736030,03 Nisan 2024,Nissan,Qashqai,1.5 dCi Sky Pack,2020,133.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,4 lt,55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.270.000 TL
25013110,03 Nisan 2024,Subaru,XV,1.6 Xtreme,2020,138.000 km,Otomatik,Benzin,Crossover,Gri,1600 cc,114 hp,4WD (Sürekli),İkinci El,,63 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,1.300.000 TL
25010743,03 Nisan 2024,Jeep,Renegade,1.6 MultiJet Limited,2020,44.000 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1598 cc,120 hp,Önden Çekiş,İkinci El,5 lt,55 lt,Tamamı orjinal,,Sahibinden,,1.270.000 TL
24362163,03 Nisan 2024,Toyota,C-HR,1.8 Hybrid Passion,2020,60.000 km,Otomatik,Hibrit,Crossover,Gri (metalik),1798 cc,98 hp,Önden Çekiş,İkinci El,"3,8 lt",43 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.250.000 TL
25004506,03 Nisan 2024,Opel,Grandland X,1.5 D EcoTEC Enjoy Black Edition,2020,43.000 km,Otomatik,Dizel,Crossover,Beyaz,1499 cc,130 hp,Önden Çekiş,İkinci El,,53 lt,Belirtilmemiş,,Sahibinden,,1.290.000 TL
25005882,03 Nisan 2024,Volkswagen,T-Roc,1.5 TSI Highline,2020,24.500 km,Yarı Otomatik,Benzin,Crossover,Kırmızı,1498 cc,150 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,,1.650.000 TL
22872585,03 Nisan 2024,Nissan,Qashqai,1.5 dCi UEFA Champions League Edition,2020,34.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1461 cc,115 hp,Önden Çekiş,,4 lt,55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.605.950 TL
24692949,03 Nisan 2024,Land Rover,Defender,110 2.0 SD4,2020,48.000 km,Otomatik,Dizel,Crossover,Kahverengi,1999 cc,240 hp,4WD (Sürekli),İkinci El,"7,6 lt",85 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,5.550.000 TL
24692943,03 Nisan 2024,Citroen,C5 Aircross,1.5 BlueHDI Feel,2020,86.000 km,Otomatik,Dizel,Crossover,Beyaz,1499 cc,130 hp,Önden Çekiş,İkinci El,4 lt,53 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.209.000 TL
25002474,02 Nisan 2024,Hyundai,Tucson,1.6 CRDi N Line,2020,33.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,8 lt",62 lt,Tamamı orjinal,,Sahibinden,,1.510.000 TL
25002026,02 Nisan 2024,Mercedes - Benz,EQC,400,2020,6.666 km,Otomatik,Elektrik,Crossover,Füme,,408 hp,4WD (Sürekli),İkinci El,,,Tamamı orjinal,,Sahibinden,,3.500.000 TL
25001658,02 Nisan 2024,Audi,E-Tron,55 Quattro,2020,70.000 km,Otomatik,Elektrik,Crossover,Füme,,408 hp,4WD (Sürekli),İkinci El,,,Belirtilmemiş,,Sahibinden,,3.600.000 TL
24999844,02 Nisan 2024,Skoda,Karoq,1.6 TDI Premium,2020,93.500 km,Yarı Otomatik,Dizel,Crossover,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,1.375.000 TL
24996611,02 Nisan 2024,Citroen,C5 Aircross,1.5 BlueHDI Shine,2020,58.150 km,Otomatik,Dizel,Crossover,Kırmızı,1499 cc,130 hp,Önden Çekiş,İkinci El,,53 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,1.525.000 TL
24998466,02 Nisan 2024,Renault,Kadjar,1.3 TCE Touch Roof,2020,9.600 km,Yarı Otomatik,Benzin,Crossover,Kırmızı,1332 cc,160 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,,Sahibinden,,835.000 TL
24684714,02 Nisan 2024,Porsche,Cayenne,3.0 V6,2020,53.141 km,Otomatik,Benzin,Crossover,Siyah,2995 cc,340 hp,4WD (Sürekli),İkinci El,"9,2 lt",75 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,10.450.000 TL
22358156,02 Nisan 2024,Peugeot,2008,1.5 BlueHDI GT,2020,27.000 km,Otomatik,Dizel,Crossover,Turuncu,1499 cc,132 hp,Önden Çekiş,İkinci El,"3,8 lt",41 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.395.000 TL
24684729,02 Nisan 2024,Toyota,C-HR,1.8 Hybrid Flame,2020,9.000 km,Otomatik,Hibrit,Crossover,Kırmızı,1798 cc,98 hp,Önden Çekiş,İkinci El,"3,8 lt",43 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.220.000 TL
24987313,01 Nisan 2024,Hyundai,Tucson,1.6 CRDi N Line Plus,2020,35.000 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1598 cc,136 hp,4WD (Sürekli),İkinci El,"5,1 lt",62 lt,Tamamı orjinal,,Sahibinden,,1.650.000 TL
24992557,01 Nisan 2024,Honda,CR-V,1.5 VTEC Executive Plus,2020,42.000 km,Otomatik,Benzin,Crossover,Siyah,1498 cc,193 hp,4WD (Sürekli),İkinci El,"7,1 lt",57 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.780.000 TL
24280333,01 Nisan 2024,Volvo,XC90,2.0 B5 Inscription,2020,69.000 km,Otomatik,Hibrit,Crossover,Beyaz,1969 cc,235 hp,4WD (Sürekli),,"6,4 lt",71 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,5.150.000 TL
24281475,01 Nisan 2024,Mitsubishi,Eclipse Cross,1.5 MIVEC Intense,2020,71.000 km,Otomatik,Benzin,Crossover,Beyaz,1499 cc,163 hp,Önden Çekiş,,"6,7 lt",63 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,1.450.000 TL
24986471,31 Mart 2024,Hyundai,Tucson,1.6 CRDi Elite,2020,38.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,8 lt",62 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,1.565.000 TL
24984958,31 Mart 2024,Nissan,Qashqai,1.3 DIG-T Tekna,2020,7.150 km,Yarı Otomatik,Benzin,Crossover,Füme,1332 cc,160 hp,Önden Çekiş,İkinci El,"5,4 lt",55 lt,Tamamı orjinal,,Sahibinden,,1.320.000 TL
24986356,31 Mart 2024,Toyota,C-HR,1.8 Hybrid Passion X-Pack,2020,46.709 km,Otomatik,Hibrit,Crossover,Mavi (metalik),1798 cc,98 hp,Önden Çekiş,İkinci El,,43 lt,Belirtilmemiş,,Sahibinden,,1.328.000 TL
